ADN    Aberdeen Asset Management       424.00p	8.90  2.14 %	9,928,623
ADM    Admiral Group  1,347.00p	       4.00 	0.30 %	   277,278
AGK    Aggreko 1,761.00p	       6.00 	0.34 %	   831,384
AMEC   Amec    1,069.00p	       2.00 	0.19 %	   700,528
AAL    Anglo American		       1,671.00p     24.00	1.42 %	3,321,809
ANTO   Antofagasta		       1,015.00p     17.00 	1.65 %	2,136,011
ARM    ARM Holdings		       899.50p	     13.00 	1.47 %	2,012,705
ABF    Associated British Foods	       1,841.00p     29.00 	1.55 %	1,525,534
AZN    AstraZeneca	  3,324.50p    1.50 	     0.05 %	1,780,950
AV     Aviva		  306.50p      4.50 	     1.45 %	13,205,140
BAB    Babcock International Group     1,083.00p     7.00 	0.65 %	509,171
BA     BAE Systems	     397.30p   4.30 	     1.09 %	5,577,962
BARC   Barclays		     303.90p   5.65 	     1.89 %	45,684,970
BG     BG Group		     1,124.00p 1.50 	     0.13 %	5,860,313
BLT    BHP Billiton	     1,933.00p 18.00 	     0.92 %	6,166,309
BP     BP  451.70p	     0.30      0.07 %	     16,549,137
BATS   British American Tobacco	       3,600.50p     20.50	0.57 %	2,212,443
BLND   British Land Co	580.50p	       8.00 	     1.40 %	6,886,968
BSY    British Sky Broadcasting Group  864.00p	     0.00 	0.00 %	3,607,115
BT-A   BT Group	   279.50p	2.50   0.90 %	     9,699,677
BNZL   Bunzl	   1,297.00p	7.00   0.54 %	     410,582
BRBY   Burberry Group		1,318.00p   38.00    2.97 %	1,083,802
CPI    Capita	878.50p		4.50 	    0.51 %   694,736
CCL    Carnival	2,267.00p	5.00 	    0.22 %   447,899
CNA    Centrica	376.40p		1.70 	    0.45 %   7,424,442
CPG    Compass Group		821.00p	    4.00     0.49 %	3,758,474
CRH    CRH     1,430.00p	0.00 	    0.00 %   1,216,199
CRDA   Croda International	2,714.00p   17.00    0.63 %	364,455
DGE    Diageo			2,001.50p   14.00    0.70 %	2,764,768
EZJ    easyJet			1,108.00p   18.00    1.65 %	1,798,833
ENRC   Eurasian Natural Resources Corp.	    257.10p  12.80 	4.74 %	19,876,096
EVR    Evraz	185.80p	23.90 	  11.40 %   13,501,937
EXPN   Experian	1,156.00p	  11.00     0.94 %	1,091,005
FRES   Fresnillo		  1,291.00p 32.00 	2.42 %	933,912
GFS    G4S			  298.00p   1.50 	0.51 %	2,144,040
GKN    GKN			  266.00p   1.60 	0.61 %	2,924,951
GSK    GlaxoSmithKline		  1,565.50p 16.00 	1.03 %	7,574,678
GLEN   Glencore International	  351.70p   5.80 	1.62 %	7,932,241
HMSO   Hammerson		  510.50p   9.00 	1.79 %	3,340,188
HL     Hargreaves Lansdown	  881.50p   15.00 	1.73 %	518,397
HSBA   HSBC Holdings		  692.00p   1.00 	0.14 %	17,655,499
IMI    IMI  1,269.00p		  38.00     3.09 %	678,147
IMT    Imperial Tobacco Group	  2,340.00p 5.00 	0.21 %	1,861,743
IHG    InterContinental Hotels Group	    1,952.00p	29.00 	1.51 %	980,961
IAG    International Consolidated Airli..   251.40p	0.50 	0.20 %	8,123,960
ITRK   Intertek Group		  3,426.00p 39.00 	1.15 %	266,969
ITV    ITV	126.70p		  3.10 	    2.51 %	9,307,936
JMAT   Johnson Matthey		  2,351.00p 21.00 	0.90 %	622,448
KGF    Kingfisher		  297.20p   4.30 	1.47 %	4,245,398
LAND   Land Securities Group	  858.50p   8.50 	1.00 %	1,769,320
LGEN   Legal & General Group	  171.60p   1.00 	0.59 %	9,915,453
LLOY   Lloyds Banking Group	  48.68p    0.32 	0.65 %	82,605,405
LSE    London Stock Exchange Group	    1,310.00p	12.00 	0.92 %	367,158
MKS    Marks & Spencer Group 400.40p	    16.60 	4.33 %	12,199,277
MGGT   Meggitt 485.90p 6.00  1.25 %	    1,180,788
MRO    Melrose Industries    263.60p	    6.20	2.41 %	1,923,748
MRW    Morrison (Wm) Supermarkets	    280.50p	0.70 	0.25 %	4,568,175
NG     National Grid 786.50p		    0.50 	0.06 %	4,777,881
NXT    Next	4,336.00p		    63.00 	1.47 %	560,141
OML    Old Mutual			    202.90p	2.10 	1.05 %	8,103,833
PSON   Pearson				    1,155.00p	4.00 	0.35 %	1,783,365
PFC    Petrofac Ltd.			    1,438.00p	8.00 	0.56 %	2,746,860
POLY   Polymetal International		    877.00p	16.00 	1.79 %	435,592
PRU    Prudential			    1,081.00p	15.00 	1.41 %	3,428,903
RRS    Randgold Resources Ltd.		    5,195.00p	145.00 	2.72 %	381,772
RB     Reckitt Benckiser Group		    4,657.00p	5.00 	0.11 %	1,250,334
REL    Reed Elsevier	 768.50p	    11.00 	1.45 %	3,379,995
RSL    Resolution Ltd.	 271.10p	    3.50 	1.31 %	3,290,069
REX    Rexam	  525.50p		    7.00 	1.31 %	2,163,222
RIO    Rio Tinto  3,140.00p		    1.00 	0.03 %	4,059,281
RR     Rolls-Royce Holdings		    1,131.00p	31.00 	2.82 %	3,554,938
RBS    Royal Bank of Scotland Group	    287.20p	1.80 	0.63 %	9,678,709
RDSA   Royal Dutch Shell 'A'  2,123.00p	    15.50 	0.74 %	2,067,779
RDSB   Royal Dutch Shell 'B'  2,182.50p	    19.00 	0.88 %	3,970,792
RSA    RSA Insurance Group    110.90p	    0.00 	0.00 %	9,562,232
SAB    SABMiller     3,445.50p		    43.50 	1.28 %	1,468,004
SGE    Sage Group    341.50p		    5.30 	1.58 %	2,439,746
SBRY   Sainsbury (J) 384.10p		    2.00 	0.52 %	3,990,076
SDR    Schroders 2,212.00p		    59.00 	2.74 %	299,758
SRP    Serco Group			    620.50p	1.00 	0.16 %	781,348
SVT    Severn Trent			    1,703.00p	0.00 	0.00 %	403,958
SHP    Shire Plc			    1,962.00p	14.00 	0.72 %	1,766,163
SN     Smith & Nephew			    754.00p	0.50 	0.07 %	1,467,441
SMIN   Smiths Group			    1,254.00p	2.00 	0.16 %	530,604
SSE    SSE    1,529.00p			    6.00 	0.39 %	1,681,333
STAN   Standard Chartered		    1,654.50p	13.50 	0.81 %	2,776,883
SL     Standard Life			    346.60p	5.70 	1.67 %	4,870,113
TATE   Tate & Lyle			    842.00p	3.00 	0.36 %	1,017,525
TSCO   Tesco  385.40p			    4.95 	1.30 %	12,687,579
TT     TUI Travel			    313.20p	4.10 	1.33 %	2,779,527
TLW    Tullow Oil			    1,169.00p	2.00 	0.17 %	1,331,212
ULVR   Unilever				    2,792.00p	14.00 	0.50 %	1,668,056
UU     United Utilities Group		    719.50p	2.00 	0.28 %	2,122,157
VED    Vedanta Resources		    1,168.00p	11.00 	0.93 %	762,730
VOD    Vodafone Group			    189.80p	0.60 	0.32 %	51,234,383
WEIR   Weir Group			    2,361.00p	78.00 	3.42 %	705,535
WTB    Whitbread			    2,466.00p	15.00 	0.61 %	641,079
WOS    Wolseley				    3,201.00p	38.00 	1.20 %	697,170
WG     Wood Group (John)		    865.50p	3.00 	0.35 %	859,983
WPP    WPP  1,080.00p			    29.00 	2.76 %	2,584,823
XTA    Xstrata				    1,060.50p	14.00 	1.30 %	3,996,565
